Name,market_value,age,national_team_ranking,club_ranking,minutes_played,goals,assists,position
René Chapel,3143451.476469636,22,198,164,2947,2,11,FWDF
Claude Simon,9908417.477528565,32,151,11,268,26,10,FWDF
Jacques Durand,6992186.715779826,39,163,46,1399,21,11,MF
Paul Dufour,2973609.213065356,38,98,70,1534,13,12,MF
Laurent Moreau,2109682.8365931287,34,126,75,909,12,20,MF
Paul Noel,2961659.948853776,34,73,400,962,10,13,FWMF
André Blanc,5496434.317436069,32,2,568,1376,23,13,FWDF
Gérard Petit,3862455.513002351,31,114,70,1212,24,5,MF
Henri Perrot,9566431.744466536,36,14,37,658,16,18,FW
Antoine Laurent,6387835.46378836,26,2,66,2696,8,3,DF
Pierre Noel,7524610.958155245,38,20,414,1697,25,7,FW
Émile Leclerc,6131920.838588849,29,76,482,169,27,3,DF
Thierry Rousseau,5574326.769029722,36,4,97,1796,14,3,FWMF
Jean Guillot,1228732.564789243,31,128,11,1127,22,4,DF
Christophe Lefebvre,2688227.33273264,33,172,37,1292,25,5,FW
Christophe Michel,9952767.722285353,39,2,66,786,17,1,MF
François Lemoine,5142117.829574272,16,2,482,985,20,15,FWDF
Luc Moreau,8462704.057083465,39,107,37,1452,10,11,FWMF
Paul Guillot,9766059.849504381,35,180,414,319,2,18,FWDF
Laurent Martin,6264965.0680832565,39,193,148,2000,22,10,MFDF
Antoine Leclerc,5094923.487934284,21,168,83,2458,27,15,MFDF
Émile Dufour,8197646.568203345,37,2,414,2372,21,3,FW
Gérard Chauvin,8023124.355915934,28,2,179,1623,8,15,FW
Marc Guillot,2049801.8606798723,32,159,400,2752,12,14,MFDF
Pascal Laurent,7373656.7362444475,30,184,482,1249,25,8,MFDF
André Leclerc,8042923.213564791,19,24,568,2438,28,13,FWDF
Jacques Petit,381458.9333953336,40,182,83,1476,14,7,FW
André Boucher,1534183.8986845687,20,111,46,380,4,7,MFDF
Marc Perrot,3544227.605126798,35,63,400,2925,22,1,FW
Émile Michel,4468007.855047472,34,162,164,2122,10,9,DF
Christophe Simon,6564519.080356695,38,110,37,559,5,0,FWMF
Damien Durand,3906972.8788686916,40,122,11,2056,1,18,DF
Antoine Lefebvre,9032757.211313583,16,198,71,1256,25,14,FW
Jacques Rousseau,8855826.634541154,39,188,414,2476,24,0,DF
Nicolas Noel,2667977.5456665084,19,199,568,1311,1,6,MFDF
François Blanc,4464572.630310431,15,97,400,1317,0,1,FWDF
Gérard Rousseau,3634888.4616978467,17,76,179,838,30,2,FW
Michel Lemoine,4866484.222700819,32,2,148,909,2,15,FWDF
Sébastien Marchand,2663606.702722609,31,157,164,2619,13,8,MFDF
Paul Perrot,8333492.862479761,18,4,568,1251,5,1,FWMF
Christophe Bernard,9445668.474351987,28,132,46,1579,25,1,FW
Christophe Dufour,1279729.9391357228,25,75,237,2021,15,12,DF
Marc Clement,9646304.418588988,38,25,70,1177,20,13,MF
Pierre Durand,7898277.640086599,34,25,400,1764,6,19,MF
Luc Garnier,7617647.028365172,16,150,97,2877,10,16,MFDF
Jean Dubois,5282205.039542168,23,46,148,885,17,4,DF
Louis Rousseau,9250991.186103784,20,2,164,886,12,10,FWMF
André Petit,9534178.23931668,35,126,11,1684,28,3,FWMF
Henri Noel,5265012.3957544565,26,127,414,2656,30,4,DF
Pascal Lefebvre,9239774.808683433,36,47,400,894,28,7,FWDF
Claude Martin,4896825.153147802,28,55,75,2028,20,0,MF
Jacques Michel,4592951.925843954,32,33,482,1134,14,20,MFDF
Pascal Boucher,2157304.183812812,22,185,97,1191,24,6,MF
Laurent Bernard,2809278.7054134533,25,2,568,1363,24,4,FWDF
Laurent Noel,8388127.0681275055,18,149,70,2437,3,16,MF
François Garnier,4600274.187559262,22,116,97,2019,20,9,MF
Antoine Rousseau,5954099.5108895,22,11,46,2584,4,12,FW
Gérard Blanc,5244391.986285336,37,2,11,1907,25,2,FWDF
Émile Guillot,6449175.328179263,27,116,400,733,5,3,DF
Pierre Laurent,836130.0605349243,40,153,400,1162,6,7,FWMF
Henri Fontaine,6710980.878560804,30,2,11,1351,9,7,FWDF
Sébastien Martin,8335797.6069441065,18,174,400,846,4,5,FWMF
Henri Simon,9276962.850242853,25,42,179,1063,29,12,MF
Henri Dufour,2215271.849720739,32,92,482,2345,14,13,FWMF
René Leclerc,8239454.717934132,15,194,400,2191,29,6,FWDF
Louis Durand,4542272.451100871,39,210,83,1050,10,9,DF
Jean Lefebvre,7855312.555329874,39,185,75,1041,11,18,FWDF
Paul Moreau,2817368.466150947,35,76,482,2499,12,2,MFDF
Paul Martin,2188820.388051681,31,52,83,1220,14,0,FWMF
Pierre Thomas,5174293.212871999,35,183,97,422,8,1,FWMF
Jean Chapel,2437219.491461292,19,193,97,2439,28,3,MFDF
Alain Lefebvre,3365717.100794427,15,86,70,2584,12,4,MF
Michel Blanc,9670736.737409607,34,2,46,1157,10,10,DF
Gérard Durand,2377511.629718356,33,96,70,1398,23,5,MF
Luc Durand,6778197.5152902305,27,100,179,925,28,5,MFDF
Pascal Michel,601655.8130737394,32,144,568,302,22,6,DF
Pascal Lemoine,6275968.249281868,32,83,83,228,17,11,DF
Julien Durand,6048555.984906852,36,45,568,402,3,12,FWDF
Philippe Blanc,6332757.223048247,26,124,237,1553,1,10,FW
Paul Lambert,914937.2329935431,27,2,148,121,4,19,FWMF
Gérard Fontaine,7415962.210902944,37,186,11,1709,14,10,MFDF
Luc Dubois,8785995.665658265,25,160,179,1288,12,2,FWMF
Marc Moreau,3971629.900089465,33,2,237,783,7,10,DF
Jacques Boucher,4156685.7672296464,21,116,568,886,0,1,DF
Bruno Bernard,1607220.4727912322,19,122,400,2492,24,2,MFDF
Nicolas Thomas,2639508.822048083,31,73,46,1722,9,9,MFDF
Damien Martin,6318483.393476345,22,122,75,492,13,4,MFDF
Nicolas Chauvin,2274405.7906093076,37,24,70,2298,24,15,MFDF
René Dufour,1117476.4926545322,23,193,46,290,29,9,FW
Julien Chauvin,7207829.302619211,30,125,71,987,19,20,FW
Louis Lambert,6620929.954224266,40,2,71,429,22,18,MFDF
Pascal Chapel,7603593.674278818,35,208,66,2424,5,12,MFDF
Philippe Marchand,4000959.621393122,21,70,71,1414,11,15,DF
François Guillot,7197093.720803969,30,69,71,2364,23,13,MFDF
Paul Blanc,6914310.486940667,23,151,97,1135,20,13,FW
Antoine Dufour,1318986.7921872064,27,2,83,2580,9,16,MF
Paul Marchand,8647609.864897095,39,41,37,2267,27,13,FWDF
Louis Boucher,2957320.9590278566,30,169,164,1876,17,18,MF
Gérard Guillot,4830014.532455243,20,113,66,1329,30,16,FWDF
Damien Michel,1133346.6776879504,21,83,148,2526,12,5,MF
Pascal Guillot,6331399.027211592,37,109,75,2532,26,14,MF
Louis Perrot,6517118.185572326,38,19,164,2050,20,20,DF
René Lefebvre,5001637.214352377,36,207,164,2304,13,10,MFDF
Michel Guillot,1262563.8192519546,35,172,482,1771,13,6,FWMF
Pierre Clement,188601.13839618862,32,170,37,803,8,6,FWMF
Sébastien Chevalier,7401151.267089881,15,3,71,1564,3,20,MF
Sébastien Garnier,4167787.76939027,28,2,70,948,23,10,FWMF
Philippe Rousseau,6039641.569787636,29,124,71,106,28,15,FWDF
Pierre Fontaine,5623087.936476804,25,183,237,1259,1,17,DF
Thierry Petit,3569281.90914914,19,115,479,1597,10,15,MF
Julien Chevalier,7712698.1453970075,37,71,37,758,0,0,FW
Julien Lefebvre,5896217.732457444,38,3,11,1770,13,11,FWMF
Claude Dubois,8239528.824435547,18,2,479,1948,27,0,FWMF
Julien Dufour,3050024.545751512,24,22,75,2380,22,11,FW
Damien Chauvin,646091.6871437803,19,138,70,973,9,8,FW
Pascal Petit,3783106.521749869,40,2,179,1446,0,16,FWDF
François Simon,204659.93888210505,20,2,568,306,10,13,MFDF
Thierry Thomas,5582984.425290488,28,2,414,942,29,16,FWDF
André Garnier,1415412.1918138117,18,2,400,1750,26,15,MFDF
Émile Dubois,8330618.194071576,29,185,400,2419,3,13,MFDF
