Name,market_value,age,national_team_ranking,club_ranking,minutes_played,goals,assists,position
Manfred Richter,6637952.9575118795,29,113,118,2759,5,5,MFDF
Frank Lang,7306081.880442798,31,16,184,2934,22,7,DF
Lukas Voigt,7083675.16794242,34,61,74,808,1,18,MF
Martin Schneider,328256.28095306456,37,122,180,1372,13,11,FWMF
Manfred Schwarz,1773038.0478315055,30,11,155,1198,2,19,MF
Martin Kern,9063877.69144494,34,44,750,445,26,9,MFDF
Heinrich Koch,9625956.589658745,17,89,118,2799,1,17,FW
Uwe Kuhn,6419712.51021605,19,198,118,964,19,2,FW
Werner Kern,4420167.853310704,27,136,93,1555,26,3,MFDF
Heinrich Schneider,6924074.791837484,18,40,170,1240,6,16,FWDF
Karl Hoffmann,3992066.115140915,18,128,14,831,16,4,MFDF
Sebastian Wagner,3191547.8244656697,40,148,118,2216,11,0,FW
Jürgen Hofmann,7865344.761568122,29,16,180,1284,12,14,FWMF
Michael Richter,9793639.244395308,35,202,184,632,25,16,FWDF
Michael Bauer,6713787.258346565,27,37,101,2372,21,3,FW
Thomas Krüger,3406877.407571301,19,125,8,1221,23,2,MFDF
Jürgen Jung,2961249.486426823,23,19,101,150,26,20,DF
Friedrich Braun,7599099.279777147,39,110,264,2680,1,1,MF
Matthias Schneider,4623974.437871948,30,99,180,2845,9,19,MFDF
Oliver Müller,4045605.775830336,28,167,12,2384,15,18,FWDF
Jürgen Krause,2770739.5144738257,36,158,10,478,4,12,FWDF
Christian Wolf,2671446.2116826326,15,159,65,1369,24,3,DF
Sebastian Neumann,1514249.314344488,16,200,264,1222,6,0,FW
Werner Wagner,3448749.1459818557,40,16,750,232,8,9,MFDF
Andreas Richter,4713869.697065093,39,16,155,1772,1,18,MF
Stefan Wolf,7760700.803413056,26,183,750,1631,23,18,MF
Lothar Fischer,2290135.0004132837,40,25,65,2237,15,19,MF
Klaus Kern,6310588.070680387,22,163,118,1802,26,12,MFDF
Karl Krüger,198457.10946246982,25,21,250,2941,0,11,FW
Hans Seidel,8904355.155979283,29,132,12,2239,17,2,MFDF
Werner Schulz,5281375.996395946,28,155,170,1238,13,11,DF
Oliver Hoffmann,8542147.787101567,29,85,250,1490,26,0,FW
Otto Müller,9798802.08875984,35,16,117,1974,3,0,FWMF
Oliver Vogel,2606585.09216737,33,136,101,168,6,9,DF
Dirk Voigt,2969297.662237659,27,14,65,601,29,1,MFDF
Klaus Schulz,7125507.575739175,31,209,750,2454,29,10,FW
Wolfgang Zimmermann,9292776.481527835,29,70,180,1766,23,12,MFDF
Klaus Schröder,2542046.113498509,24,194,750,1480,10,4,FW
Thomas Becker,8135831.244336441,39,136,250,722,25,12,FWMF
Helmut Richter,4081041.808309965,29,76,118,2890,6,0,MF
Patrick Dietrich,7535794.629598968,30,113,117,619,3,18,DF
Patrick Schröder,7586859.755497426,15,58,117,2567,11,3,DF
Andreas Kern,723098.1638189405,36,185,14,248,2,11,FWMF
Lukas Meyer,2440740.527608432,26,147,118,138,17,12,FWMF
Lothar Schröder,7437821.104819886,15,99,93,378,14,10,FW
Oliver Neumann,6029394.37632449,25,159,8,1755,23,18,FWMF
Jürgen Zimmermann,8751810.44258643,19,35,12,1172,19,17,DF
Patrick Richter,7852654.310176149,30,177,65,1190,18,6,FWMF
Werner Weber,7507381.96184393,27,98,93,2646,20,3,FWDF
Andreas Voigt,7437135.807541199,20,195,14,1984,30,7,DF
Lukas Schneider,1701295.5714715645,23,97,5,262,30,6,FWDF
Martin Müller,2175029.2165437713,35,138,184,344,16,10,DF
Lothar Dietrich,9799133.959109895,18,7,93,2205,13,0,MFDF
Andreas Schneider,3932559.8991476,32,60,750,2141,1,2,MFDF
Uwe Koch,7348180.382442661,31,84,74,377,13,12,MFDF
Andreas Wolf,4151305.082021281,38,147,5,748,1,13,FWDF
Manfred Lang,8577313.753822818,22,65,118,1656,0,20,MF
Peter Kuhn,6017482.833820395,34,16,180,407,9,8,FWDF
Peter Krüger,2387735.360348597,25,121,184,1098,9,17,FW
Helmut Meyer,6632703.753141686,26,204,10,2024,13,16,FW
Wolfgang Vogel,7318526.026257314,29,119,65,735,14,14,FW
Helmut Schneider,4828366.862563416,25,73,750,899,2,6,FWMF
Klaus Müller,5719595.434120856,23,16,93,2944,27,2,DF
Hans Hofmann,6374202.382308431,17,148,93,2302,5,15,FWMF
Helmut Müller,8000585.097470321,39,10,10,980,21,17,MF
Hans Schwarz,6307669.55150757,29,100,12,2996,12,11,DF
Frank Krause,2316551.591688767,27,174,117,852,22,14,MFDF
Peter Jung,9278288.370068185,32,202,170,797,10,14,DF
Friedrich Lang,8836950.374022126,28,41,155,1353,4,3,FW
Michael Vogel,8767882.277979515,25,197,117,1789,15,19,FWMF
Klaus Koch,9519706.147769466,18,16,101,509,4,11,FWMF
Otto Lang,3759700.9686753154,24,41,74,259,28,13,MF
Dirk Schmidt,1103733.399324119,35,199,117,2869,27,7,MF
Christian Jung,4205028.665135615,34,43,250,2459,21,0,FW
Otto Krüger,7290000.557573512,40,87,118,502,26,11,FWMF
Martin Neumann,7241144.683631137,40,16,10,154,20,5,MF
Martin Kuhn,7677513.017016463,24,16,180,1690,27,12,MF
Uwe Schneider,7424080.18282149,22,15,117,2268,18,17,FW
Heinrich Wolf,4025682.536815293,25,79,180,2303,24,11,MFDF
Oliver Lang,7989487.004629336,23,16,5,1553,14,4,DF
Matthias Weber,9325858.264556155,16,18,5,921,15,9,DF
Christian Neumann,3175878.563709557,38,16,65,2385,14,2,MF
Helmut Schulz,1401894.2278111354,39,165,184,955,21,13,FWMF
Otto Meyer,1147319.5634083822,37,199,155,2618,3,20,FW
Manfred Hoffmann,5539814.937976189,21,37,180,599,9,8,FW
Hans Müller,8868989.576539025,36,59,184,2022,13,2,FW
Jürgen Müller,9301645.658258349,39,16,155,928,4,12,FWMF
Helmut Krüger,4796794.8145233095,33,191,118,735,4,8,FW
Sebastian Weber,7221537.534776144,36,16,12,2588,13,0,FWDF
Sebastian Schwarz,9863653.693138622,40,55,170,100,6,19,FWDF
Manfred Krüger,136361.68376542628,32,16,118,1386,26,0,FW
Peter Becker,4516242.751083337,33,196,180,1721,17,1,FWDF
Manfred Braun,2390944.2387055606,31,16,74,1932,9,3,MFDF
Lukas Müller,2959206.297574565,19,91,14,516,9,0,FW
Christian Lang,7020428.514457308,18,31,170,1821,1,2,FWDF
Otto Schulz,2604501.014505513,38,40,155,126,18,12,FWMF
Patrick Koch,6504515.299713239,23,17,250,288,5,10,FW
Patrick Schulz,9556960.172927938,33,137,74,1787,14,17,MF
Heinrich Hoffmann,8611313.1666556,37,173,155,492,24,14,FWMF
Stefan Schröder,1782629.289268516,27,206,5,2873,26,10,FWMF
Lothar Schmidt,7584128.388087265,24,59,93,102,13,10,MFDF
