Name,market_value,age,national_team_ranking,club_ranking,minutes_played,goals,assists,position
Francesco Sartori,6352729.482995346,37,17,325,2124,5,0,MF
Luigi Gallo,7695452.670473605,23,10,23,1433,13,7,MF
Luigi Ferri,7155229.192506522,22,137,29,1514,7,8,MF
Leonardo Ricci,5483079.16414924,17,78,29,575,24,15,FW
Matteo Greco,9755215.876270086,27,10,29,690,17,6,MF
Massimo Colombo,3283161.877351813,27,52,52,2323,1,16,DF
Mario Rinaldi,9571720.980177633,22,118,188,845,16,18,MFDF
Leonardo De Luca,6255520.714260638,38,23,231,1619,16,0,MFDF
Leonardo Ferrari,514811.00337114185,19,94,325,2302,5,15,MF
Alberto Gallo,2261588.2310085,27,129,169,1746,11,4,MFDF
Angelo Colombo,5234607.348777354,27,30,397,167,2,2,DF
Claudio Sartori,7820727.150235325,17,12,397,2466,18,20,FWDF
Vincenzo Bruno,8368249.055976048,35,63,188,2914,13,1,FW
Giovanni Fontana,2533467.7177714184,19,115,149,830,9,12,FW
Alberto Rinaldi,4715439.630043693,16,10,90,1165,22,17,DF
Alberto Marino,507292.4573905766,28,84,397,2480,19,8,FWDF
Riccardo Russo,8519799.082633108,26,10,325,253,24,17,MF
Leonardo Fontana,632860.4957088828,24,108,50,2492,29,3,FWMF
Marco Longo,9015939.998207614,27,54,90,1318,0,20,DF
Giorgio Ferrari,5296003.561769612,26,52,238,1783,20,10,MF
Leonardo Colombo,8220947.862765752,39,76,136,122,27,6,MF
Mario Pellegrini,1565617.3641094938,29,48,58,2445,11,20,DF
Giovanni Romano,6307372.0674961805,29,31,58,698,29,19,FWDF
Andrea Sartori,7141021.494055167,32,10,90,1137,20,2,FW
Mario Santoro,3254496.516799554,39,92,50,1225,21,15,MF
Fabio Rossi,7989539.67441339,29,10,3,1225,22,13,FW
Alessandro Ferrari,7585905.226878822,26,107,24,903,10,20,FW
Massimo Rossi,6258089.418476447,22,107,3,205,16,13,FW
Mario Ricci,1747254.7432873398,22,120,50,763,13,1,MF
Paolo Colombo,3944344.250462018,17,65,136,195,25,19,FWMF
Emanuele Sartori,9059722.748515196,28,116,169,2179,28,5,MFDF
Paolo Bruno,8281570.233311504,24,110,3,353,10,20,MF
Michele Conti,5898511.05553098,34,10,90,1949,24,2,MF
Enrico Mancini,1689970.8095472306,31,15,31,1681,11,17,MF
Francesco De Luca,4129627.3375861347,28,101,29,1492,13,19,MFDF
Alessandro Rossi,4346124.451910146,30,95,58,1000,18,15,FWMF
Stefano Moretti,6179677.467630245,21,19,238,667,30,18,FWMF
Giorgio Costa,9971384.368021972,27,171,681,1600,21,11,DF
Giovanni Colombo,4545014.066644944,34,141,397,2737,20,10,MFDF
Francesco Amato,4731095.551629551,29,89,681,1230,27,11,FWDF
Stefano Santoro,5607177.4780750275,16,154,149,2402,9,16,MF
Matteo Barbieri,7235302.127059549,15,11,149,1546,21,12,FW
Paolo Amato,3488074.8155061156,25,10,149,273,13,10,DF
Andrea Mariani,1661639.350070618,35,155,169,702,13,1,FWDF
Giovanni Amato,1594544.250308536,16,54,52,212,8,3,FWMF
Giuseppe Bianchi,7048049.40437898,22,112,238,549,0,14,MF
Paolo Longo,5050841.285125352,22,115,149,2311,7,18,MF
Angelo Fontana,5386369.827133603,16,94,3,2245,27,1,MF
Giovanni Martini,1839162.5045565888,38,103,23,2140,15,13,MF
Marco Fontana,2626749.5564883575,40,185,58,1945,11,15,MF
Matteo Ferrari,2605902.7983341366,21,32,3,2034,30,0,DF
Vincenzo Ferri,3614190.1286086068,20,76,231,2942,2,13,FWMF
Claudio Mancini,8527333.537884988,34,178,52,1471,18,9,MF
Matteo Pellegrini,1673897.0655947924,40,70,238,1963,27,8,FW
Andrea Conti,8871164.75563962,22,98,325,794,4,10,FWDF
Leonardo Pellegrini,613735.9864776954,38,28,149,438,10,12,DF
Andrea Villa,4944936.4953208715,32,122,238,1996,19,3,FWDF
Alessandro Costa,3731353.208073415,25,207,681,2022,23,18,DF
Andrea Marino,3509669.2425664514,36,10,681,1125,26,14,FW
Alberto Santoro,8641842.348361388,22,10,681,2449,22,5,MF
Stefano Ricci,377546.1631361395,39,110,149,2213,23,9,MFDF
Vincenzo Greco,6624260.443309322,23,140,169,1798,5,15,DF
Andrea Ricci,4646206.519682892,20,135,681,1467,14,16,FW
Alberto Ricci,4504023.485654034,18,10,231,954,15,8,MF
Alberto Russo,8065967.949805781,26,128,169,2636,30,6,MFDF
Luigi Amato,7896620.342112146,24,99,52,1686,17,11,MFDF
Roberto Romano,4101336.9928114116,40,57,23,1922,26,11,FWDF
Angelo Ricci,8938892.925460823,37,198,31,627,0,6,FW
Andrea Longo,4401509.629562497,31,198,29,2357,13,5,FWDF
Vincenzo Mancini,2076852.6422558352,24,28,23,146,1,7,FWDF
Angelo Rossi,5064194.246334955,23,10,149,1651,0,16,MF
Antonio Ferri,8740885.157347657,28,79,169,512,5,7,FW
Matteo Colombo,2324000.316206366,24,104,6,2121,15,13,FWMF
Luca Gallo,5469334.261375479,39,174,90,2066,13,11,FWDF
Giuseppe Santoro,3344701.960682869,22,10,238,1515,9,10,MF
Alberto Barbieri,5774522.1426244825,39,191,149,1078,3,11,FW
Giuseppe Russo,7236876.04542356,18,190,31,300,20,4,FWDF
Michele Ferri,4324810.852762312,25,193,31,2735,26,7,FW
Enrico De Luca,2672503.01418826,19,133,136,2150,29,18,FWMF
Giuseppe Martini,5913811.669289134,33,99,50,2667,0,2,FW
