Name,market_value,age,national_team_ranking,club_ranking,minutes_played,goals,assists,position
Miguel Ramírez,6535960.5161473155,35,8,42,2607,14,16,DF
Juan González,2055629.9440097064,39,204,9,2590,20,10,DF
Juan Martínez,6026399.5309127495,30,14,464,2416,1,1,FWMF
Rubén Pérez,5135504.32336051,23,19,363,2264,3,0,FWDF
David Sánchez,4989546.105917543,33,154,124,2678,17,15,FWDF
Diego Reyes,6946009.546378627,15,88,464,1030,10,0,MFDF
Diego Ortiz,1096687.4084901065,23,96,464,1697,23,0,FWDF
Pedro Romero,2361513.2761653513,37,99,126,675,15,20,MFDF
Pablo Vidal,3763733.4526283666,25,113,121,1839,22,8,FWMF
Ismael Prieto,9688167.990301736,35,128,16,104,25,6,DF
Fernando Romero,5372594.136162661,33,111,200,974,21,17,FWMF
Vicente Castro,7038328.270264901,33,8,200,2210,14,11,MFDF
Luis Delgado,8856903.954059817,22,92,111,1616,2,17,MF
Luis Rodríguez,2048545.7474133,33,197,249,2941,11,5,MF
Luis Fernández,6045103.596965782,16,8,121,2883,9,0,MF
Carlos Rubio,6463773.363898508,22,187,130,1139,27,15,FWMF
Vicente Prieto,2658586.7651971057,18,197,9,1142,27,8,FWMF
Luis Domínguez,8929290.843498893,36,148,249,1058,17,6,FWDF
Carlos González,2981198.431062512,39,73,57,1910,1,14,FWMF
Ángel Reyes,901979.4933963567,23,206,27,2075,6,15,FWMF
Alejandro Blanco,5831644.13003251,31,193,57,1919,23,8,MF
Mario Ramírez,6479418.117646128,16,8,249,2273,1,9,MFDF
Jorge Rodríguez,3506957.557750866,21,129,18,2949,9,20,MF
Adrián Romero,4043685.1151054725,21,186,2,1075,28,11,FWDF
Rubén Prieto,8054495.090129785,23,8,200,2994,1,4,DF
Mario Moreno,7353944.446053356,28,105,9,2908,13,3,MFDF
Mario Martínez,4070703.2944308594,27,5,249,732,11,20,FWMF
David Álvarez,7619534.648885019,28,159,121,1623,4,20,DF
Adrián Díaz,6320736.579177901,37,116,464,134,14,4,MF
Rubén Jiménez,6041686.618793756,18,76,27,2787,20,17,FWDF
Miguel Fernández,8257788.747060113,20,196,200,1154,21,1,MF
Javier Ramos,1138038.2899893448,17,31,57,250,3,10,DF
Vicente Rubio,1454951.592325233,33,206,464,1539,29,10,FWDF
Ismael Castro,3063340.8593945205,19,78,27,975,29,0,MF
Francisco Reyes,1650623.2307758182,27,57,27,2236,14,1,FW
Iván Castro,9321548.666083254,38,14,126,881,14,0,FW
Jorge Prieto,1755629.3772533536,15,172,130,2786,25,15,FW
José Iglesias,8856186.146731488,21,210,126,2703,21,9,FWDF
Adrián Domínguez,6706775.100645609,35,145,249,2702,21,6,FWMF
Mario Jiménez,2430799.2706773803,22,67,18,2367,4,1,FWMF
Javier Cano,9345905.631384812,17,8,121,2225,2,3,MF
Manuel Pérez,329454.00797761977,15,195,192,2593,4,12,FWMF
Carlos Delgado,3866706.2296532094,38,168,27,392,23,17,DF
Francisco Rodríguez,6800643.431814387,24,48,111,2579,0,18,FWDF
Iván Delgado,8568929.34194766,29,177,57,2987,19,8,DF
Fernando Díaz,5202624.663128518,37,128,42,2902,27,15,DF
Rafael Vidal,2603101.0262900963,33,99,126,2355,2,12,MFDF
Jaime Martínez,980936.9349386543,33,206,464,2546,4,6,DF
Ángel González,8050422.116136178,21,39,130,1300,25,20,DF
Rubén Ramírez,4775461.827823892,24,183,464,2090,20,19,MF
Alejandro Jiménez,5325743.183074519,38,8,192,1931,28,9,FWDF
David García,583126.4470471069,38,8,18,2626,20,8,MF
Ismael Ortiz,2997511.5563021973,27,14,18,2975,29,16,MFDF
Javier Hernández,6802748.291566968,32,29,200,2577,30,3,FW
Fernando García,8537076.84862893,25,21,124,1225,30,4,MFDF
Carlos Prieto,2233871.5420104563,34,8,2,2226,19,6,DF
Carlos Rodríguez,9001382.489409298,27,8,115,736,17,18,FWDF
Alejandro Gutiérrez,3149783.140560612,15,12,18,2911,0,8,MF
Rafael Fernández,619864.0294140205,28,208,42,141,15,4,MF
Enrique Reyes,2243206.142145209,38,157,124,703,24,9,DF
Antonio Castro,971790.5099969357,18,52,27,1969,3,15,MF
Rubén Torres,4427693.750010803,36,109,2,804,8,12,FWDF
Ángel Moreno,4030357.0320131257,36,198,124,1077,14,10,MFDF
Rafael Gutiérrez,9269839.620380662,25,109,249,355,2,8,FWDF
Ismael Iglesias,2590569.547750056,37,18,249,724,13,6,MFDF
Pedro Blanco,2814530.1318261772,38,56,126,2784,16,14,FWDF
Pedro Martínez,7917700.391681865,19,119,27,1755,26,18,DF
Pablo Domínguez,8563452.555704862,15,130,126,200,21,18,FW
Francisco Rubio,5426972.887595184,34,197,27,491,28,6,DF
Francisco Sánchez,6927548.501244746,33,89,126,128,12,13,MF
Ángel Cano,7687854.292313568,27,70,42,735,13,3,MFDF
Pedro Álvarez,1136105.4725712165,16,155,130,2237,25,6,FWMF
Diego Martínez,6029924.211301841,26,8,111,2653,15,0,FWMF
Juan Iglesias,3053864.504932426,22,158,18,882,13,9,DF
Alberto Moreno,8903236.594982445,27,127,16,210,23,12,FWMF
Rafael López,9844280.61710205,28,171,312,908,12,17,FW
Javier Sánchez,6743484.404985793,20,37,124,1592,26,20,FW
Juan Pérez,6498505.32929413,18,8,27,988,21,4,MF
Pedro Cano,1687650.7643377408,34,75,27,1930,11,1,MFDF
Iván López,3922039.3598778173,32,18,115,2855,11,6,FW
Iván Pérez,810037.5578505918,32,47,363,2112,9,1,FW
Sergio Sánchez,6517134.306905791,25,7,33,874,6,0,FWMF
Alejandro Ramírez,9913086.145627312,36,122,121,2094,22,18,MF
Mario García,3884786.4826209843,20,68,249,1883,16,12,FWDF
Diego Díaz,8136787.195154466,37,130,130,2950,26,6,MFDF
Sergio Cano,4981388.125708327,22,54,126,1511,17,7,MFDF
Pedro Ramos,8336432.767659426,35,78,42,930,15,0,FW
Fernando Rodríguez,3738602.9929388314,36,14,249,1299,13,19,MF
Iván Domínguez,5684714.949154295,19,8,126,1004,5,16,FW
Sergio Rodríguez,8007217.442640103,38,47,42,2236,30,5,FW
Pedro Vázquez,9091607.177932747,27,108,27,871,9,5,FWDF
Fernando Domínguez,8786526.007740758,38,81,130,2212,7,7,FWMF
Diego Jiménez,7358943.181973882,32,45,249,2655,26,11,FW
Manuel Cano,6906335.615483113,37,176,312,2909,29,15,DF
Fernando Blanco,395222.1564948559,38,135,130,2182,7,7,FW
Carlos Moreno,798548.701312393,30,204,33,2812,28,12,FWMF
Pablo Moreno,5357720.281346701,21,208,200,1581,14,6,FWDF
Rubén Moreno,682565.164542757,15,126,33,672,19,19,MFDF
Miguel Torres,9995143.159013242,36,14,16,1978,26,11,FWMF
Alejandro Torres,413488.45711909235,34,86,27,783,3,5,MF
José Pérez,2456460.96218843,38,95,111,2704,2,10,MF
Mario Pérez,2975546.3132169098,22,187,42,842,14,16,MF
Manuel Álvarez,8179967.753496021,39,58,312,2388,11,9,MFDF
Iván Gutiérrez,2998104.9476889893,21,177,42,1229,1,0,MFDF
Diego López,903206.8791566417,40,104,57,1951,22,13,FWMF
Rafael Domínguez,3984067.359031178,29,124,33,2790,26,7,MFDF
Vicente Pérez,9761923.379031941,23,144,312,1331,18,10,FWDF
Jorge Hernández,7738859.257102013,28,8,2,994,11,10,FWDF
Miguel Rubio,2866292.930673808,31,125,124,626,22,19,FWDF
Francisco Hernández,7674846.517574042,38,71,200,210,2,4,FWMF
Pablo Blanco,4664243.408245966,27,114,42,2828,13,17,FW
Manuel Prieto,4742269.742512144,33,8,130,2492,6,16,MFDF
Carlos Hernández,837421.9293240458,35,172,121,282,5,4,FW
David Reyes,8890544.80206687,40,8,33,2734,9,5,MFDF
Rafael Cano,9923351.060110144,21,8,9,2385,22,7,MF
Juan Díaz,2830480.437166989,27,163,33,2885,19,13,FWMF
Miguel Hernández,8585209.31864623,17,105,111,1706,5,13,MFDF
Luis Vidal,6242090.020747855,32,8,16,1160,9,8,DF
Vicente Ramírez,8665461.669303477,28,90,9,2216,11,11,FWMF
Juan Cano,2185737.9701919854,16,35,363,1432,29,15,MF
Rubén Blanco,8040597.288240679,28,67,42,1553,9,1,MFDF
Carlos Vidal,4149619.655846618,15,4,200,589,6,17,FWDF
Francisco Díaz,1139836.0560880974,15,201,27,2574,12,16,FWDF
Ismael Domínguez,818015.8845381811,35,96,16,1263,21,6,FWMF
Pablo Díaz,5903554.700221866,23,8,2,160,9,15,MF
Sergio Ortiz,6291449.459316209,39,81,27,2724,3,1,FW
David Ortiz,9952727.442001924,39,100,121,1148,21,1,MF
Diego Iglesias,8477205.73360566,33,60,2,1067,4,16,DF
Iván Iglesias,4865416.692616418,22,8,27,2425,28,5,DF
Manuel Ortiz,9900987.077946775,35,106,363,2130,24,10,FWMF
Alejandro Hernández,8195304.768183269,27,8,312,1072,24,2,FWDF
Rubén Fernández,6832751.6259858385,25,8,42,550,25,0,MFDF
Jaime Ramírez,1731957.3312066495,17,185,111,759,1,1,MF
David Torres,3832932.4048478156,31,144,57,1481,20,18,MF
Ángel Castro,2620757.828024216,26,171,42,2435,18,3,MF
Rubén Iglesias,4179973.081825301,28,76,16,945,9,1,FWMF
Diego Sánchez,7301000.617770478,22,81,9,540,6,7,FWDF
José Cano,8081028.578360565,35,174,200,2456,29,20,FW
Sergio Álvarez,4585551.115847193,39,94,2,2974,19,18,MF
Alejandro Martínez,1890204.3958194554,37,139,111,2708,17,15,FW
Enrique Domínguez,1369278.6887753755,26,8,363,945,16,8,FWDF
José Martínez,9925202.58165896,30,154,111,566,22,7,FWDF
Pablo Torres,1023685.040930286,22,152,57,1786,10,5,FWMF
David Fernández,7887121.384590864,32,97,9,277,20,15,MF
Jaime Rodríguez,1831125.4320433363,33,8,42,1323,5,19,DF
Alejandro Pérez,803674.1397576407,31,68,249,978,27,11,DF
Pablo Gutiérrez,1151925.746933557,34,8,16,316,19,2,FWDF
Alberto Ramírez,810684.9674601108,18,180,115,2693,16,14,DF
Jorge Rubio,5829688.591999002,38,8,200,1125,12,9,FWDF
Javier Domínguez,6737419.097870588,18,21,312,457,8,9,FW
Ángel Domínguez,8044713.234785013,33,8,33,849,11,4,MFDF
Luis Castro,7143881.110660732,28,8,16,2848,23,6,FW
Adrián Jiménez,4629279.9862334505,30,25,464,2759,28,12,MF
Rafael Ortiz,9215285.136271268,23,66,57,1086,23,6,FWDF
Javier Fernández,1715436.5648515522,29,9,312,1737,2,14,DF
Diego Rodríguez,4380031.857430004,21,107,200,499,15,8,MFDF
Pedro Pérez,1899800.982605666,21,172,16,236,26,5,MF
Francisco López,7531694.592325948,31,122,464,1655,9,7,FW
Ismael García,1746445.5740526319,36,12,363,1014,27,5,FWMF
Antonio Díaz,4208141.652215272,23,131,121,535,16,18,MFDF
Manuel Vázquez,1063408.0826537684,17,11,33,1703,26,13,FW
Vicente Domínguez,7334459.196054377,19,110,111,2145,20,1,FWDF
Alberto Iglesias,9630221.332376823,17,8,200,2384,13,9,FWMF
Vicente Reyes,8539964.886172675,18,128,111,502,14,1,FWDF
Ismael Cano,900951.8240811303,30,180,111,2012,6,5,MFDF
Rafael Sánchez,563214.0739122406,18,41,42,2957,5,10,MFDF
Alejandro Iglesias,1471678.8449790329,23,15,16,105,22,5,MF
Mario Gutiérrez,2098543.191095814,32,153,249,2138,14,6,MF
Alberto Martínez,3876232.9765362665,39,116,464,2037,24,20,FWDF
Diego Hernández,9504376.011271961,25,69,57,1510,22,19,FW
Jaime Gutiérrez,3174738.381593488,24,125,57,2848,2,17,MF
Sergio Martínez,3717075.4991471767,25,201,130,228,2,12,DF
Juan Prieto,3635233.689658344,15,33,464,2115,24,15,FWMF
Miguel Domínguez,9065482.674608938,31,209,464,2274,30,8,MF
Carlos Blanco,9484355.200617574,16,70,115,2309,30,4,FWDF
Alberto Prieto,1841275.5217868835,15,8,2,895,3,17,FWDF
Diego Rubio,2237659.2670567334,18,44,16,2801,4,20,FWMF
Jaime Fernández,2746826.966898516,22,36,192,894,12,6,DF
Javier Vázquez,4000992.428790778,34,8,464,1422,5,3,MFDF
Enrique Martínez,3122999.4443478063,17,168,2,742,17,9,FWMF
Manuel Hernández,2077866.7395934463,26,8,18,1256,24,20,FWMF
Diego Torres,8393922.57456202,38,191,312,610,7,15,MF
Antonio Gutiérrez,2007798.0305999517,19,5,312,140,3,19,DF
Antonio Álvarez,388861.2139970064,23,42,249,2084,12,14,FW
Jaime Ortiz,3918113.2320081815,31,8,18,549,28,2,FWDF
Manuel Martínez,4531712.590437382,21,8,111,1701,17,17,FWMF
Ángel Torres,4292944.586928934,40,26,363,2946,7,11,MFDF
Sergio Rubio,721230.69150839,15,42,18,218,14,1,FWMF
Miguel Cano,5816752.669448033,35,142,312,2060,13,17,MFDF
Javier Moreno,9950852.176407352,24,8,124,1401,2,1,MFDF
Adrián Pérez,5263190.148002468,18,178,57,1758,14,13,FWMF
Juan Moreno,6298056.576005183,28,8,27,2801,18,3,DF
Sergio Delgado,5725927.420915104,32,123,111,2499,23,19,FW
Francisco Domínguez,4010924.696130678,36,38,363,2188,8,19,MF
Jorge Blanco,1500502.5629419833,34,195,130,1386,5,2,FWDF
Pablo Ramírez,7014719.626191072,33,108,200,2173,26,5,FWDF
Manuel López,6978787.246113643,17,32,9,1545,17,10,DF
Enrique Ramos,1793938.674381934,25,8,121,1626,27,6,DF
David Jiménez,5910585.470986553,40,36,249,2405,29,4,FWMF
Alberto Álvarez,9971470.170211978,19,4,464,657,30,15,MFDF
Iván Reyes,8098496.460379101,17,184,249,894,18,18,FWDF
Luis Romero,8474308.492103592,36,164,115,2719,5,15,MF
Javier Torres,9859370.657755062,36,103,16,339,10,16,MF
Alberto Reyes,9745186.94547005,20,122,192,1590,0,13,FW
José Delgado,4512789.076939225,21,32,126,170,25,0,FWDF
Rubén Álvarez,7398490.50946068,16,13,27,1991,17,7,FWMF
Javier Álvarez,4458225.898281671,29,176,27,414,12,11,FWMF
Francisco Romero,183954.12368699908,24,101,121,1387,8,15,FWDF
Antonio Ortiz,2183159.965206869,32,60,18,1029,0,10,MFDF
Carlos López,1040681.9974537939,28,89,27,717,28,10,MFDF
Rubén García,5618274.669651873,24,8,9,1366,20,10,FW
Rafael Castro,8051718.555786647,30,22,124,2458,20,2,FWDF
Javier Gutiérrez,1264484.2310342938,29,8,42,2202,12,8,MF
Jorge Ramírez,3273871.2132675573,39,8,192,2328,21,16,FWDF
Rafael González,6268832.950317301,32,44,33,2054,26,17,MF
Pablo López,3356096.6016957536,38,21,27,2180,1,5,FW
Alejandro Castro,1565978.5266965628,26,8,9,1315,6,15,FWDF
Ismael Jiménez,2464892.910560593,38,54,126,2331,28,13,DF
Vicente Ortiz,218733.77079609782,27,190,130,1034,0,19,MF
Alejandro Ramos,1291743.3014372364,16,50,121,2373,5,0,MF
Rubén Hernández,4687881.42753765,24,188,249,211,19,4,FWMF
Mario Romero,8244859.352335334,35,60,16,1057,19,4,MF
Alberto Delgado,1018447.9194926098,33,104,27,1744,7,8,MFDF
Manuel Iglesias,674704.3272014707,17,134,121,2566,21,3,FWDF
José Ramírez,7002697.216672823,21,138,42,1814,13,0,MFDF
Enrique Sánchez,9291481.802915223,16,86,115,2879,30,1,MFDF
Pablo Rodríguez,2839080.179715529,32,112,42,2494,30,0,DF
Antonio Fernández,6106790.584046394,37,130,27,862,21,2,FW
Jaime López,791650.2826847136,25,8,121,1005,16,17,MFDF
Enrique Rodríguez,3419093.7294857576,31,8,33,2577,16,17,MF
Rafael Romero,7042567.989649251,38,8,9,1942,5,13,DF
Enrique Prieto,1832964.978995733,26,170,130,2560,22,19,DF
Sergio Hernández,8966355.826775543,27,177,16,921,0,17,FWDF
Rubén Martínez,2566060.748253949,31,116,2,1171,26,7,MF
José Álvarez,5766782.597918063,39,91,126,1856,4,13,MF
Jorge Díaz,5985133.412037976,29,8,27,943,16,13,MF
Rubén Ortiz,574099.565227516,20,170,18,381,13,3,MFDF
Jaime García,7521107.168192975,31,55,2,559,20,11,FWMF
Pablo Sánchez,1667075.097677298,20,27,192,414,0,2,MF
Antonio Delgado,7059481.73943907,23,38,126,2386,5,5,MF
Miguel López,9123664.410342462,36,35,312,1650,16,7,FW
Ángel Jiménez,3847590.8598396927,38,147,27,2044,30,16,FW
Luis Prieto,7526654.598792084,21,49,200,649,21,2,FW
Ismael Moreno,1007794.4241696969,15,84,200,2888,27,7,FWDF
Fernando González,1570649.6427301317,24,170,192,2133,28,18,FWMF
Antonio Domínguez,6945076.36227645,33,27,33,2269,24,5,FWMF
David González,4164093.761984259,25,46,111,247,5,14,FWMF
Ángel Ortiz,2636265.066382475,25,113,124,1555,14,6,MFDF
Manuel Domínguez,8506068.074540235,36,121,27,467,4,11,MF
David Moreno,658549.1698235273,19,43,111,1308,14,17,MFDF
Juan Romero,3382008.268381469,19,150,464,2542,8,1,MF
